https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVC,Volume USDT,tradecount
1616630400000,2021-03-25 00:00:00,CVC/USDT,0.42859,0.44328,0.40025,0.40906,84631558,35714905.58315,143866
1616544000000,2021-03-24 00:00:00,CVC/USDT,0.46265,0.54539,0.41000,0.42881,129553365,63747912.51185,229197
1616457600000,2021-03-23 00:00:00,CVC/USDT,0.42515,0.46449,0.40180,0.46244,77731307,33914683.16071,140568
1616371200000,2021-03-22 00:00:00,CVC/USDT,0.42998,0.50387,0.41268,0.42512,131204231,61210772.59112,214764
1616284800000,2021-03-21 00:00:00,CVC/USDT,0.42149,0.43043,0.40294,0.42971,31927539,13337593.20392,60227
1616198400000,2021-03-20 00:00:00,CVC/USDT,0.43767,0.46700,0.41974,0.42146,36796019,16394228.33880,66766
1616112000000,2021-03-19 00:00:00,CVC/USDT,0.42841,0.46782,0.41366,0.43741,39383331,17493143.89379,75181
1616025600000,2021-03-18 00:00:00,CVC/USDT,0.42444,0.45228,0.41622,0.42858,39786989,17165620.12728,77064
1615939200000,2021-03-17 00:00:00,CVC/USDT,0.41746,0.42747,0.39021,0.42432,29147378,11899803.64176,59246
1615852800000,2021-03-16 00:00:00,CVC/USDT,0.42785,0.43637,0.39500,0.41704,37003454,15169520.76924,70948
1615766400000,2021-03-15 00:00:00,CVC/USDT,0.45271,0.47640,0.40777,0.42737,61348425,26867347.35535,111357
1615680000000,2021-03-14 00:00:00,CVC/USDT,0.43995,0.48676,0.42222,0.45227,117881413,54022980.76216,182572
1615593600000,2021-03-13 00:00:00,CVC/USDT,0.42708,0.46947,0.40622,0.43981,62489095,27297771.05873,106907
1615507200000,2021-03-12 00:00:00,CVC/USDT,0.43082,0.44515,0.40225,0.42701,48143414,20578074.90509,84831
1615420800000,2021-03-11 00:00:00,CVC/USDT,0.43424,0.46936,0.40523,0.43023,71900931,31778507.21977,111793
1615334400000,2021-03-10 00:00:00,CVC/USDT,0.48067,0.48480,0.41640,0.43402,49511884,21765652.34284,90378
1615248000000,2021-03-09 00:00:00,CVC/USDT,0.41254,0.48500,0.40092,0.48104,73085288,32259265.34897,126208
1615161600000,2021-03-08 00:00:00,CVC/USDT,0.40105,0.41417,0.38040,0.41226,22849443,9073593.54619,48385
1615075200000,2021-03-07 00:00:00,CVC/USDT,0.39112,0.40899,0.38452,0.40080,32482430,12910319.49151,62551
