https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1627430400000,2021-07-28 00:00:00,AAVE/USDT,299.98000000,309.00000000,292.02000000,297.92000000,188239.94380000,56483669.56335400,130197
1627344000000,2021-07-27 00:00:00,AAVE/USDT,302.53000000,312.36000000,283.29000000,299.94000000,323347.19870000,96433274.08535400,196196
1627257600000,2021-07-26 00:00:00,AAVE/USDT,287.89000000,335.52000000,285.66000000,302.43000000,462405.86750000,147006462.78677100,379875
1627171200000,2021-07-25 00:00:00,AAVE/USDT,287.89000000,293.18000000,271.90000000,288.07000000,142260.15450000,40243201.41141600,91626
1627084800000,2021-07-24 00:00:00,AAVE/USDT,289.99000000,299.05000000,280.85000000,287.67000000,176431.36280000,51277465.80241400,120951
1626998400000,2021-07-23 00:00:00,AAVE/USDT,278.54000000,293.00000000,268.00000000,290.00000000,218991.40700000,61590177.07872000,152300
1626912000000,2021-07-22 00:00:00,AAVE/USDT,259.45000000,280.33000000,256.67000000,278.66000000,225622.72760000,60639509.46295700,155722
1626825600000,2021-07-21 00:00:00,AAVE/USDT,223.39000000,263.48000000,216.99000000,259.45000000,247998.96930000,60787289.50323000,153030
1626739200000,2021-07-20 00:00:00,AAVE/USDT,238.45000000,242.41000000,212.54000000,223.03000000,191015.86020000,42535420.79510400,99444
1626652800000,2021-07-19 00:00:00,AAVE/USDT,253.88000000,255.99000000,232.93000000,238.51000000,147774.60780000,35753233.45389900,81768
1626566400000,2021-07-18 00:00:00,AAVE/USDT,253.14000000,267.96000000,250.69000000,253.68000000,107331.60640000,27840295.87866000,70082
1626480000000,2021-07-17 00:00:00,AAVE/USDT,253.14000000,259.06000000,245.01000000,253.14000000,132529.37760000,33426748.88187700,79306
1626393600000,2021-07-16 00:00:00,AAVE/USDT,272.28000000,279.79000000,252.20000000,253.13000000,159349.19790000,42179701.92945900,100794
1626307200000,2021-07-15 00:00:00,AAVE/USDT,279.34000000,288.38000000,265.38000000,272.30000000,247936.75410000,68226002.62688500,138754
1626220800000,2021-07-14 00:00:00,AAVE/USDT,271.23000000,285.59000000,251.85000000,279.29000000,300658.57600000,81160253.65118100,164677
1626134400000,2021-07-13 00:00:00,AAVE/USDT,296.73000000,297.74000000,267.45000000,271.23000000,196443.93730000,55666837.56645800,112939
1626048000000,2021-07-12 00:00:00,AAVE/USDT,305.10000000,321.95000000,291.18000000,296.73000000,249947.84670000,76845224.29023500,164225
1625961600000,2021-07-11 00:00:00,AAVE/USDT,294.66000000,311.00000000,286.03000000,305.09000000,171310.89250000,51440949.51391700,115461
1625875200000,2021-07-10 00:00:00,AAVE/USDT,303.07000000,311.87000000,288.21000000,294.70000000,181454.03350000,54179514.59655600,112592
1625788800000,2021-07-09 00:00:00,AAVE/USDT,291.34000000,314.72000000,276.00000000,303.00000000,414420.67900000,122798463.46435800,239538
1625702400000,2021-07-08 00:00:00,AAVE/USDT,314.76000000,315.68000000,275.96000000,291.36000000,541972.36490000,160217718.58474500,272599
1625616000000,2021-07-07 00:00:00,AAVE/USDT,316.49000000,331.70000000,310.06000000,314.83000000,301732.43670000,96893100.02579500,218858
1625529600000,2021-07-06 00:00:00,AAVE/USDT,308.10000000,347.53000000,308.06000000,316.49000000,680686.43980000,223166172.36131400,478196
1625443200000,2021-07-05 00:00:00,AAVE/USDT,277.00000000,318.40000000,260.42000000,308.22000000,595969.28720000,170563848.06794000,326017
1625356800000,2021-07-04 00:00:00,AAVE/USDT,259.41000000,289.90000000,248.03000000,277.00000000,287632.63230000,78466324.73447100,178073
1625270400000,2021-07-03 00:00:00,AAVE/USDT,234.05000000,267.08000000,227.75000000,259.42000000,275045.42190000,69695918.49256300,174013
1625184000000,2021-07-02 00:00:00,AAVE/USDT,230.18000000,234.96000000,215.62000000,234.12000000,183917.22910000,41470830.35063900,88933
1625097600000,2021-07-01 00:00:00,AAVE/USDT,250.96000000,253.02000000,227.22000000,230.17000000,234518.73540000,56171198.44029400,120428
1625011200000,2021-06-30 00:00:00,AAVE/USDT,238.03000000,252.58000000,219.71000000,251.08000000,273789.07010000,63957746.60711000,137684
1624924800000,2021-06-29 00:00:00,AAVE/USDT,227.32000000,253.32000000,226.04000000,238.22000000,280295.68930000,67977222.40982100,156439
1624838400000,2021-06-28 00:00:00,AAVE/USDT,202.93000000,233.22000000,200.62000000,227.37000000,261935.83800000,57188272.73353400,135658
1624752000000,2021-06-27 00:00:00,AAVE/USDT,187.17000000,203.29000000,183.06000000,202.87000000,206406.77830000,39949093.86929300,99464
1624665600000,2021-06-26 00:00:00,AAVE/USDT,186.76000000,193.37000000,176.32000000,187.29000000,163389.72620000,29985620.50739200,85013
1624579200000,2021-06-25 00:00:00,AAVE/USDT,211.37000000,214.86000000,185.12000000,186.86000000,192411.99390000,37857787.83280500,103483
1624492800000,2021-06-24 00:00:00,AAVE/USDT,207.53000000,218.38000000,193.08000000,211.28000000,223463.37880000,45714740.05148700,105356
1624406400000,2021-06-23 00:00:00,AAVE/USDT,206.14000000,229.65000000,196.90000000,207.65000000,365959.38910000,79080107.41542700,170021
1624320000000,2021-06-22 00:00:00,AAVE/USDT,212.69000000,224.00000000,170.10000000,206.12000000,572892.02200000,113226864.54545700,249620
1624233600000,2021-06-21 00:00:00,AAVE/USDT,272.85000000,275.75000000,206.00000000,212.64000000,299648.88680000,69942372.47652500,169606
1624147200000,2021-06-20 00:00:00,AAVE/USDT,254.68000000,277.24000000,242.07000000,272.67000000,148498.38310000,38591783.89756200,102766
1624060800000,2021-06-19 00:00:00,AAVE/USDT,265.08000000,270.10000000,254.38000000,254.59000000,80174.91780000,21093061.42022400,55859
