https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1620777600000,2021-05-12 00:00:00,MKR/USDT,5376.20,6110.80,4816.60,4942.70,65909.047,367064294.09746,492135
1620691200000,2021-05-11 00:00:00,MKR/USDT,4989.47,5419.90,4731.85,5379.20,46205.783,232073237.23194,237998
1620604800000,2021-05-10 00:00:00,MKR/USDT,5279.35,5458.37,4693.74,4990.66,60877.294,318641419.88260,293004
1620518400000,2021-05-09 00:00:00,MKR/USDT,5657.66,5700.00,5037.39,5281.64,57940.265,310542303.26650,286371
1620432000000,2021-05-08 00:00:00,MKR/USDT,5085.52,5869.03,5007.24,5655.13,69214.615,378879407.37567,390576
1620345600000,2021-05-07 00:00:00,MKR/USDT,5057.49,5380.81,4869.22,5084.96,55935.744,284322825.35558,272195
1620259200000,2021-05-06 00:00:00,MKR/USDT,5425.70,5448.00,4875.65,5057.49,63400.409,329617229.53906,301924
1620172800000,2021-05-05 00:00:00,MKR/USDT,5238.12,5524.52,5108.75,5426.34,68157.900,364193494.19529,322250
1620086400000,2021-05-04 00:00:00,MKR/USDT,5994.00,6032.21,5109.83,5243.27,88440.519,492966484.48915,515663
1620000000000,2021-05-03 00:00:00,MKR/USDT,4921.13,6344.39,4921.13,5992.85,89669.188,504714085.00842,578575
1619913600000,2021-05-02 00:00:00,MKR/USDT,4794.10,5121.56,4521.53,4921.13,61822.073,301269911.26801,303241
1619827200000,2021-05-01 00:00:00,MKR/USDT,4357.37,5000.00,4301.92,4792.88,62471.834,292885718.00131,307957
1619740800000,2021-04-30 00:00:00,MKR/USDT,4269.90,4373.67,4083.77,4357.76,46711.275,197746037.62796,183760
1619654400000,2021-04-29 00:00:00,MKR/USDT,4419.76,4422.59,4068.54,4270.53,57254.575,243987566.46044,218627
1619568000000,2021-04-28 00:00:00,MKR/USDT,4567.03,4669.64,4133.16,4422.04,62410.441,274660538.16392,237482
1619481600000,2021-04-27 00:00:00,MKR/USDT,4022.12,4608.21,4004.90,4564.93,70484.348,309245405.05312,273962
1619395200000,2021-04-26 00:00:00,MKR/USDT,3825.50,4156.53,3739.34,4022.38,68695.887,274489312.24731,235478
1619308800000,2021-04-25 00:00:00,MKR/USDT,4020.52,4146.78,3572.82,3825.42,61158.008,238823583.92721,250814
1619222400000,2021-04-24 00:00:00,MKR/USDT,4068.54,4186.00,3600.01,4023.73,82230.979,318956274.04242,325752
1619136000000,2021-04-23 00:00:00,MKR/USDT,4019.84,4577.00,3250.77,4067.52,130740.801,506823191.85819,667989
1619049600000,2021-04-22 00:00:00,MKR/USDT,4047.52,4951.64,3820.26,4020.68,160622.563,719483469.67344,936710
1618963200000,2021-04-21 00:00:00,MKR/USDT,3458.20,4278.89,3371.50,4052.22,93634.333,354674722.14999,386729
1618876800000,2021-04-20 00:00:00,MKR/USDT,3520.10,3665.36,3174.49,3458.05,66220.876,225653788.87359,246116
1618790400000,2021-04-19 00:00:00,MKR/USDT,3250.39,3869.47,3153.70,3520.35,86424.904,306140897.16297,333986
1618704000000,2021-04-18 00:00:00,MKR/USDT,3311.48,3342.73,2554.00,3250.93,78691.929,243268500.62365,287599
1618617600000,2021-04-17 00:00:00,MKR/USDT,3380.22,3669.98,3297.15,3310.94,62957.805,219969604.85777,245393
1618531200000,2021-04-16 00:00:00,MKR/USDT,3769.95,3848.55,3215.73,3379.74,89950.801,314600741.84086,377133
1618444800000,2021-04-15 00:00:00,MKR/USDT,2685.91,4020.00,2685.90,3768.69,160646.291,559382259.90426,728923
1618358400000,2021-04-14 00:00:00,MKR/USDT,2575.99,2693.46,2491.48,2685.82,58137.013,151476248.94627,190743
1618272000000,2021-04-13 00:00:00,MKR/USDT,2701.05,2763.57,2438.34,2575.66,60610.444,155089830.09930,213775
1618185600000,2021-04-12 00:00:00,MKR/USDT,2278.71,2737.37,2278.14,2698.71,65925.954,163626251.58560,247690
1618099200000,2021-04-11 00:00:00,MKR/USDT,2233.42,2314.18,2180.53,2278.82,34628.351,77502256.68580,108922
1618012800000,2021-04-10 00:00:00,MKR/USDT,2226.75,2390.26,2180.00,2233.18,38797.547,88248448.68579,128583
1617926400000,2021-04-09 00:00:00,MKR/USDT,2212.69,2288.13,2175.35,2227.42,40935.453,90847613.38270,118141
1617840000000,2021-04-08 00:00:00,MKR/USDT,2105.77,2239.77,2074.81,2212.75,55833.998,120507422.06403,145019
1617753600000,2021-04-07 00:00:00,MKR/USDT,2297.62,2356.98,2014.91,2105.62,75572.120,163719362.98254,203947
1617667200000,2021-04-06 00:00:00,MKR/USDT,2336.88,2360.36,2186.42,2298.25,55490.575,126028890.16508,154872
1617580800000,2021-04-05 00:00:00,MKR/USDT,2311.52,2374.48,2191.31,2337.14,52187.699,119806787.02223,137753
1617494400000,2021-04-04 00:00:00,MKR/USDT,2238.60,2352.04,2216.00,2311.63,52423.169,119982360.13266,130074
1617408000000,2021-04-03 00:00:00,MKR/USDT,2488.63,2584.10,2215.02,2239.29,58508.533,139620154.63171,178400
1617321600000,2021-04-02 00:00:00,MKR/USDT,2294.25,2599.67,2271.96,2488.52,59102.016,145136199.78508,192299
1617235200000,2021-04-01 00:00:00,MKR/USDT,2115.91,2395.00,2108.76,2292.26,53699.918,122307856.78157,180657
1617148800000,2021-03-31 00:00:00,MKR/USDT,2090.81,2146.17,2019.04,2116.00,56820.792,118672587.88340,143014
1617062400000,2021-03-30 00:00:00,MKR/USDT,2102.54,2175.33,2081.75,2090.28,52282.648,110888565.22540,127551
1616976000000,2021-03-29 00:00:00,MKR/USDT,2063.52,2150.09,2035.16,2103.90,45203.137,94597894.34862,128817
1616889600000,2021-03-28 00:00:00,MKR/USDT,2145.73,2155.05,2020.10,2063.19,49215.183,102496113.49299,146752
1616803200000,2021-03-27 00:00:00,MKR/USDT,1987.80,2236.87,1955.94,2145.95,64920.572,134743092.43378,202343
1616716800000,2021-03-26 00:00:00,MKR/USDT,1883.24,2002.79,1883.24,1987.07,48888.302,95159150.20168,135824
1616630400000,2021-03-25 00:00:00,MKR/USDT,1812.17,1938.49,1785.00,1883.24,70048.527,131232398.24941,199040
1616544000000,2021-03-24 00:00:00,MKR/USDT,2009.70,2082.85,1758.66,1812.17,67109.090,132678603.17095,190504
1616457600000,2021-03-23 00:00:00,MKR/USDT,1964.78,2044.55,1904.74,2010.34,66789.827,131368087.46258,180231
