https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1629158400000,2021-08-17 00:00:00,ICP/USDT,61.06000000,64.20000000,54.34000000,56.05000000,2928722.01000000,176746174.47580000,288042
1629072000000,2021-08-16 00:00:00,ICP/USDT,63.40000000,67.90000000,60.07000000,61.06000000,3043095.42000000,195762870.18100000,345573
1628985600000,2021-08-15 00:00:00,ICP/USDT,64.21000000,65.00000000,58.28000000,63.40000000,2267542.06000000,139771398.71670000,269092
1628899200000,2021-08-14 00:00:00,ICP/USDT,68.25000000,68.33000000,62.05000000,64.20000000,2359398.30000000,152591995.78830000,255667
1628812800000,2021-08-13 00:00:00,ICP/USDT,64.20000000,69.09000000,62.76000000,68.23000000,2327234.70000000,153975394.46600000,269851
1628726400000,2021-08-12 00:00:00,ICP/USDT,67.14000000,72.32000000,60.00000000,64.18000000,3749481.74000000,243085920.15340000,432919
1628640000000,2021-08-11 00:00:00,ICP/USDT,71.61000000,77.00000000,65.57000000,67.16000000,4614502.53000000,327185733.10290000,582259
1628553600000,2021-08-10 00:00:00,ICP/USDT,64.25000000,76.58000000,61.37000000,71.60000000,6028075.78000000,429821927.17920000,679117
1628467200000,2021-08-09 00:00:00,ICP/USDT,55.23000000,68.90000000,52.73000000,64.25000000,5812629.37000000,365380628.49870000,528817
1628380800000,2021-08-08 00:00:00,ICP/USDT,61.66000000,62.29000000,53.20000000,55.27000000,3954451.43000000,228467362.86360000,358658
1628294400000,2021-08-07 00:00:00,ICP/USDT,48.27000000,66.18000000,47.87000000,61.65000000,7547111.04000000,444320301.02440000,752033
1628208000000,2021-08-06 00:00:00,ICP/USDT,42.10000000,52.50000000,40.45000000,48.27000000,4556012.16000000,213614866.92660000,357722
1628121600000,2021-08-05 00:00:00,ICP/USDT,39.31000000,42.75000000,38.12000000,42.10000000,1605678.43000000,64430274.75070000,116798
1628035200000,2021-08-04 00:00:00,ICP/USDT,38.55000000,40.46000000,37.78000000,39.32000000,1373394.84000000,53966659.40460000,95782
1627948800000,2021-08-03 00:00:00,ICP/USDT,40.20000000,40.66000000,37.51000000,38.53000000,1391723.45000000,53771285.92310000,95484
1627862400000,2021-08-02 00:00:00,ICP/USDT,40.86000000,41.51000000,39.71000000,40.18000000,1304588.71000000,52872885.15660000,86114
1627776000000,2021-08-01 00:00:00,ICP/USDT,41.95000000,44.66000000,40.61000000,40.87000000,1879639.57000000,79942281.22220000,146370
1627689600000,2021-07-31 00:00:00,ICP/USDT,42.21000000,43.97000000,40.36000000,41.97000000,1840642.86000000,77080771.12350000,138090
1627603200000,2021-07-30 00:00:00,ICP/USDT,41.25000000,42.76000000,38.19000000,42.19000000,1766069.80000000,71647299.11320000,119750
1627516800000,2021-07-29 00:00:00,ICP/USDT,40.77000000,41.92000000,39.03000000,41.25000000,1347700.76000000,54189550.41730000,91385
1627430400000,2021-07-28 00:00:00,ICP/USDT,41.03000000,43.85000000,39.27000000,40.75000000,2427977.48000000,101186780.70980000,167220
1627344000000,2021-07-27 00:00:00,ICP/USDT,40.59000000,41.79000000,37.46000000,41.01000000,3223737.65000000,127386432.73760000,223168
1627257600000,2021-07-26 00:00:00,ICP/USDT,42.59000000,48.20000000,40.48000000,40.60000000,3939219.13000000,175724633.12950000,315475
1627171200000,2021-07-25 00:00:00,ICP/USDT,43.49000000,46.04000000,40.38000000,42.60000000,4365420.01000000,187234119.05130000,293808
