https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT,tradecount
1627344000000,2021-07-27 00:00:00,LRC/USDT,0.22902000,0.23699000,0.22061000,0.22912000,17140357.20000000,3905160.26471900,19430
1627257600000,2021-07-26 00:00:00,LRC/USDT,0.22463000,0.25600000,0.22386000,0.22941000,37015781.40000000,8887438.73505500,35534
1627171200000,2021-07-25 00:00:00,LRC/USDT,0.21530000,0.22815000,0.21164000,0.22470000,15002119.70000000,3322561.42097900,12269
1627084800000,2021-07-24 00:00:00,LRC/USDT,0.21134000,0.21990000,0.20977000,0.21544000,9741224.60000000,2098940.57054500,8330
1626998400000,2021-07-23 00:00:00,LRC/USDT,0.21047000,0.21422000,0.20335000,0.21132000,9310847.10000000,1943848.12639000,7021
1626912000000,2021-07-22 00:00:00,LRC/USDT,0.20282000,0.21578000,0.20101000,0.21065000,13617893.70000000,2818816.89320300,11159
1626825600000,2021-07-21 00:00:00,LRC/USDT,0.18808000,0.20589000,0.18337000,0.20265000,18807319.20000000,3714717.08037400,14931
1626739200000,2021-07-20 00:00:00,LRC/USDT,0.20053000,0.20319000,0.18336000,0.18801000,13861126.00000000,2640401.37531400,13810
1626652800000,2021-07-19 00:00:00,LRC/USDT,0.21153000,0.21246000,0.19867000,0.20052000,9351779.40000000,1907349.44304600,9072
1626566400000,2021-07-18 00:00:00,LRC/USDT,0.20760000,0.22201000,0.20729000,0.21145000,14746173.40000000,3177203.92361500,12994
1626480000000,2021-07-17 00:00:00,LRC/USDT,0.20743000,0.21452000,0.20615000,0.20747000,13426648.40000000,2814784.86116700,11271
1626393600000,2021-07-16 00:00:00,LRC/USDT,0.22322000,0.22599000,0.20706000,0.20758000,15260415.10000000,3311171.22830700,15695
1626307200000,2021-07-15 00:00:00,LRC/USDT,0.23251000,0.24641000,0.22038000,0.22316000,26801605.80000000,6233922.62390200,27489
1626220800000,2021-07-14 00:00:00,LRC/USDT,0.22332000,0.24729000,0.21175000,0.23260000,23880371.80000000,5530773.16231000,24014
1626134400000,2021-07-13 00:00:00,LRC/USDT,0.23148000,0.23344000,0.21934000,0.22321000,7935022.80000000,1795871.32459400,9739
1626048000000,2021-07-12 00:00:00,LRC/USDT,0.23580000,0.24143000,0.22750000,0.23208000,8694036.00000000,2039733.88966800,11335
1625961600000,2021-07-11 00:00:00,LRC/USDT,0.23502000,0.23970000,0.23052000,0.23570000,9777724.00000000,2305202.50435600,10920
1625875200000,2021-07-10 00:00:00,LRC/USDT,0.23822000,0.24161000,0.22840000,0.23517000,10353585.20000000,2442710.86452800,11192
1625788800000,2021-07-09 00:00:00,LRC/USDT,0.23631000,0.24037000,0.22578000,0.23822000,14731086.10000000,3459908.18994200,14513
1625702400000,2021-07-08 00:00:00,LRC/USDT,0.25732000,0.25853000,0.23216000,0.23638000,16051288.50000000,3885100.39966400,17110
1625616000000,2021-07-07 00:00:00,LRC/USDT,0.25874000,0.27233000,0.25543000,0.25689000,21124420.00000000,5567543.17156500,19672
1625529600000,2021-07-06 00:00:00,LRC/USDT,0.24758000,0.26158000,0.24719000,0.25900000,17168428.80000000,4391278.39832900,15548
1625443200000,2021-07-05 00:00:00,LRC/USDT,0.25758000,0.25867000,0.24300000,0.24742000,9395624.20000000,2361417.59635400,11174
