https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume USDT,tradecount
1625356800000,2021-07-04 00:00:00,SC/USDT,0.01377900,0.01433000,0.01336300,0.01399500,574214915.00000000,7964635.77188200,28123
1625270400000,2021-07-03 00:00:00,SC/USDT,0.01329200,0.01389700,0.01273800,0.01378200,455991504.00000000,6037925.47564600,23466
1625184000000,2021-07-02 00:00:00,SC/USDT,0.01306400,0.01333600,0.01218700,0.01328100,554382553.00000000,7027801.66844200,27298
1625097600000,2021-07-01 00:00:00,SC/USDT,0.01331100,0.01339000,0.01234700,0.01307000,623188216.00000000,7991450.63581700,31806
1625011200000,2021-06-30 00:00:00,SC/USDT,0.01292900,0.01331100,0.01180100,0.01331100,656520695.00000000,8223077.82391900,32228
1624924800000,2021-06-29 00:00:00,SC/USDT,0.01204900,0.01310000,0.01201000,0.01293100,833730333.00000000,10578285.09014900,37278
1624838400000,2021-06-28 00:00:00,SC/USDT,0.01126200,0.01239500,0.01110700,0.01205800,922752862.00000000,11035244.14945200,41249
1624752000000,2021-06-27 00:00:00,SC/USDT,0.01091400,0.01130000,0.01043200,0.01123600,446814966.00000000,4805841.47305800,20512
1624665600000,2021-06-26 00:00:00,SC/USDT,0.01063900,0.01119000,0.01005300,0.01091400,653296806.00000000,6866438.84178500,33130
1624579200000,2021-06-25 00:00:00,SC/USDT,0.01158500,0.01216000,0.01052700,0.01062900,1624229257.00000000,18742129.37371800,90375
1624492800000,2021-06-24 00:00:00,SC/USDT,0.01042800,0.01200000,0.00989400,0.01158200,898809507.00000000,9898863.41541600,41613
1624406400000,2021-06-23 00:00:00,SC/USDT,0.00938800,0.01071700,0.00895500,0.01040900,879354138.00000000,8945198.70671200,38118
1624320000000,2021-06-22 00:00:00,SC/USDT,0.00984300,0.01080000,0.00762400,0.00938800,1779909073.00000000,16281520.44422100,69519
1624233600000,2021-06-21 00:00:00,SC/USDT,0.01324800,0.01341900,0.00976200,0.00983100,1321649353.00000000,14840432.69615700,57917
1624147200000,2021-06-20 00:00:00,SC/USDT,0.01334200,0.01358200,0.01217300,0.01324500,736337072.00000000,9481362.71052800,34130
1624060800000,2021-06-19 00:00:00,SC/USDT,0.01413800,0.01439000,0.01329700,0.01335600,555323664.00000000,7667093.35909300,34618
1623974400000,2021-06-18 00:00:00,SC/USDT,0.01496100,0.01559400,0.01366200,0.01413800,854595043.00000000,12668116.43136500,42801
1623888000000,2021-06-17 00:00:00,SC/USDT,0.01519200,0.01556600,0.01460000,0.01496300,406270181.00000000,6145300.18505600,21979
1623801600000,2021-06-16 00:00:00,SC/USDT,0.01599100,0.01603800,0.01490800,0.01518800,430465281.00000000,6637848.10131500,25836
1623715200000,2021-06-15 00:00:00,SC/USDT,0.01611900,0.01646200,0.01554900,0.01600200,529279355.00000000,8495685.14885200,31502
1623628800000,2021-06-14 00:00:00,SC/USDT,0.01567300,0.01632000,0.01549600,0.01612900,678198996.00000000,10799451.03822600,32681
1623542400000,2021-06-13 00:00:00,SC/USDT,0.01505400,0.01588400,0.01466000,0.01565100,545392871.00000000,8302441.48120400,29894
1623456000000,2021-06-12 00:00:00,SC/USDT,0.01545100,0.01546700,0.01390200,0.01502100,720470678.00000000,10540263.27412500,35991
1623369600000,2021-06-11 00:00:00,SC/USDT,0.01641700,0.01702000,0.01516400,0.01544200,592263054.00000000,9555336.68994600,33748
1623283200000,2021-06-10 00:00:00,SC/USDT,0.01678300,0.01761000,0.01574400,0.01642000,996080145.00000000,16680756.16775800,50901
1623196800000,2021-06-09 00:00:00,SC/USDT,0.01606300,0.01689100,0.01514800,0.01677500,689196326.00000000,11111451.71088300,45036
1623110400000,2021-06-08 00:00:00,SC/USDT,0.01648900,0.01682200,0.01430000,0.01604600,1073801112.00000000,16859518.71497500,60090
1623024000000,2021-06-07 00:00:00,SC/USDT,0.01875800,0.01916700,0.01616700,0.01653200,888918338.00000000,15979743.26302200,52240
1622937600000,2021-06-06 00:00:00,SC/USDT,0.01818600,0.01933100,0.01795100,0.01873300,834614659.00000000,15512706.81228300,47810
1622851200000,2021-06-05 00:00:00,SC/USDT,0.01854200,0.02050000,0.01755900,0.01819600,1690594574.00000000,32161431.27123200,92423
1622764800000,2021-06-04 00:00:00,SC/USDT,0.01884600,0.01967200,0.01629200,0.01851900,1394411076.00000000,25061682.90588800,76433
1622678400000,2021-06-03 00:00:00,SC/USDT,0.01759200,0.01885300,0.01732100,0.01885300,687523517.00000000,12448014.79356600,44490
1622592000000,2021-06-02 00:00:00,SC/USDT,0.017142,0.017873,0.016780,0.017619,381151594,6623138.461679,43077
1622505600000,2021-06-01 00:00:00,SC/USDT,0.017855,0.018107,0.016583,0.017136,481661514,8285753.284963,49561
1622419200000,2021-05-31 00:00:00,SC/USDT,0.017014,0.017933,0.015906,0.017856,838298684,14262180.071243,54105
1622332800000,2021-05-30 00:00:00,SC/USDT,0.016255,0.017613,0.015306,0.017009,711797503,11809838.949514,49296
1622246400000,2021-05-29 00:00:00,SC/USDT,0.016673,0.017476,0.015141,0.016248,1225470902,20039283.621610,66754
1622160000000,2021-05-28 00:00:00,SC/USDT,0.019049,0.019467,0.015996,0.016678,1936124883,33562387.457005,87619
1622073600000,2021-05-27 00:00:00,SC/USDT,0.020476,0.020500,0.018219,0.019047,1696841435,32612631.732389,87018
1621987200000,2021-05-26 00:00:00,SC/USDT,0.017600,0.020817,0.017600,0.020479,2299170560,45672938.761783,121614
1621900800000,2021-05-25 00:00:00,SC/USDT,0.017867,0.018479,0.015778,0.017600,2112270811,36332334.078364,107899
1621814400000,2021-05-24 00:00:00,SC/USDT,0.014907,0.018168,0.014138,0.017865,1757682970,28742046.684799,120795
1621728000000,2021-05-23 00:00:00,SC/USDT,0.018971,0.018995,0.012000,0.014906,1929037165,28261642.087440,132373
1621641600000,2021-05-22 00:00:00,SC/USDT,0.018839,0.019515,0.016767,0.018975,1239227378,22809377.376517,113960
1621555200000,2021-05-21 00:00:00,SC/USDT,0.020322,0.022316,0.015194,0.018864,1615707038,31958895.343513,156492
1621468800000,2021-05-20 00:00:00,SC/USDT,0.017088,0.021209,0.015100,0.020340,1367812151,25411663.039508,142535
1621382400000,2021-05-19 00:00:00,SC/USDT,0.026976,0.027709,0.008450,0.017025,2994761290,58153215.020063,252012
1621296000000,2021-05-18 00:00:00,SC/USDT,0.026098,0.028567,0.025726,0.026946,670721351,18185382.553988,95286
1621209600000,2021-05-17 00:00:00,SC/USDT,0.028950,0.028995,0.024345,0.026097,1026885901,27162245.856365,126559
1621123200000,2021-05-16 00:00:00,SC/USDT,0.029156,0.032099,0.026516,0.028936,859036089,25265124.899189,108540
1621036800000,2021-05-15 00:00:00,SC/USDT,0.032341,0.032777,0.028384,0.029168,607044548,18396780.332179,95129
1620950400000,2021-05-14 00:00:00,SC/USDT,0.030577,0.033500,0.030400,0.032341,588560707,18826101.690977,79887
