https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1624579200000,2021-06-25 00:00:00,FIL/USDT,57.10000000,57.93000000,50.36000000,52.03000000,3034948.46860000,163337249.05789300,283428
1624492800000,2021-06-24 00:00:00,FIL/USDT,58.72000000,59.35000000,54.17000000,57.10000000,2749730.25020000,155937868.94525500,242621
1624406400000,2021-06-23 00:00:00,FIL/USDT,49.45000000,59.25000000,47.48000000,58.70000000,3757619.75710000,206001328.54052700,432423
1624320000000,2021-06-22 00:00:00,FIL/USDT,46.15000000,53.18000000,42.53000000,49.45000000,5375956.74400000,257022222.52080600,496556
1624233600000,2021-06-21 00:00:00,FIL/USDT,63.19000000,63.73000000,45.00000000,46.18000000,4690895.53100000,251668674.38556700,488378
1624147200000,2021-06-20 00:00:00,FIL/USDT,64.71000000,65.00000000,59.92000000,63.20000000,2188031.12900000,136618849.31757200,189167
1624060800000,2021-06-19 00:00:00,FIL/USDT,65.69000000,66.85000000,64.23000000,64.72000000,1076377.46040000,70628180.26249800,121535
1623974400000,2021-06-18 00:00:00,FIL/USDT,68.93000000,68.97000000,63.50000000,65.69000000,1365880.87780000,90643020.57132200,167544
1623888000000,2021-06-17 00:00:00,FIL/USDT,69.72000000,72.10000000,67.04000000,68.93000000,1167009.08850000,81500987.72451300,151977
1623801600000,2021-06-16 00:00:00,FIL/USDT,72.57000000,72.57000000,68.56000000,69.72000000,1373941.12160000,96729769.12483600,191024
1623715200000,2021-06-15 00:00:00,FIL/USDT,74.89000000,75.89000000,71.58000000,72.56000000,1476074.47860000,109103248.21825700,201509
1623628800000,2021-06-14 00:00:00,FIL/USDT,73.11000000,77.72000000,71.82000000,74.89000000,1645829.14760000,121921621.82298200,235223
1623542400000,2021-06-13 00:00:00,FIL/USDT,69.68000000,73.73000000,68.62000000,73.13000000,1281781.80070000,90553448.83792300,166207
1623456000000,2021-06-12 00:00:00,FIL/USDT,70.79000000,71.30000000,66.00000000,69.68000000,1819483.56830000,125578460.67541000,220775
